incident_id,timestamp,repo,file,line,error_name,error_message,top_frame,owners_top3,commit_list,slack_text
a3b2c1d0-1111-2222-3333-444455556666,2026-01-31T17:18:02Z,ichack26/broken_app,src/routes/api.js,17,TypeError,"Cannot read properties of undefined (reading 'id')","src/routes/api.js:17","John:95|Michael:2|Vincent:2","87123b7:install dot.env@Shawn;58eef9a:set up npm run test@Shawn;310342a:Add GitHub API integration@Angela","Crash Reason: TypeError reading 'id' at src/routes/api.js:17."
b4c3d2e1-aaaa-bbbb-cccc-ddddeeeeffff,2026-01-31T17:22:41Z,ichack26/broken_app,src/services/payments.js,25,ReferenceError,"token is not defined","src/services/payments.js:25","Angela:60|Shawn:25|Vincent:15","1e9a8da:add slack dependency@Vincent;cb4a606:add slack service@Angela","Crash Reason: ReferenceError token not defined in payments flow."
c1a7f3b2-0c11-4a2b-8c0e-001a2b3c4d50,2026-02-01T09:12:05Z,ichack26/broken_app,src/routes/api.js,31,TypeError,"Cannot read properties of undefined (reading 'email')","src/routes/api.js:31","Aisha:88|Noah:7|Liam:5","a12bc34:refactor auth middleware@Noah;bb23cc1:add request logger@Liam;cc34dd2:wire payments route@Aisha","Crash Reason: TypeError reading 'email' at src/routes/api.js:31."
d2b8a4c3-1d22-4b3c-9d1f-112b3c4d5e61,2026-02-01T10:03:44Z,ichack26/broken_app,src/services/payments.js,42,ReferenceError,"token is not defined","src/services/payments.js:42","Mina:70|Ethan:20|Sofia:10","d45ef67:add token validation@Mina;e56fa78:cleanup env loading@Ethan;f67ab89:update charge handler@Sofia","Crash Reason: ReferenceError token not defined in payments flow."
e3c9b5d4-2e33-4c4d-ae2a-223c4d5e6f72,2026-02-01T11:27:19Z,ichack26/api_app,src/routes/Incident.js,18,Error,"Invalid repository identifier","src/routes/Incident.js:18","Kai:55|Priya:30|Owen:15","1ab2c3d:add incident route@Kai;2bc3d4e:validate payload fields@Priya;3cd4e5f:improve error responses@Owen","Crash Reason: Invalid repository identifier in incident payload."
f4d0c6e5-3f44-4d5e-bf3b-334d5e6f7083,2026-02-01T12:41:58Z,ichack26/broken_app,src/routes/chat.js,9,TypeError,"Cannot read properties of undefined (reading 'text')","src/routes/chat.js:9","Hannah:65|Zara:25|Leo:10","4de5f60:add chat endpoint@Hannah;5ef6071:rename chat controller@Zara;6f07182:format response payload@Leo","Crash Reason: TypeError reading 'text' at src/routes/chat.js:9."
a5e1d7f6-4055-4e6f-c04c-445e6f809194,2026-02-01T13:05:03Z,ichack26/broken_app,src/util/HttpError.js,57,Error,"HttpError: status must be a number","src/util/HttpError.js:57","Jules:50|Amir:30|Chloe:20","7a18293:add HttpError helper@Jules;8b293a4:guard status codes@Amir;9c3a4b5:update tests@Chloe","Crash Reason: HttpError status validation failed."
b6f2e8a7-5166-4f70-d15d-556f70a1b2a5,2026-02-02T08:14:22Z,ichack26/broken_app,src/services/GitHubService.js,77,TypeError,"Cannot read properties of undefined (reading 'login')","src/services/GitHubService.js:77","Diego:72|Nina:18|Ravi:10","ab4c5d6:add commit parser@Diego;bc5d6e7:handle null author@Nina;cd6e7f8:add retries@Ravi","Crash Reason: TypeError reading 'login' while parsing GitHub response."
c7a3f9b8-6277-4071-e26e-667081b2c3b6,2026-02-02T09:48:10Z,ichack26/api_app,src/controllers/IncidentController.js,39,Error,"Missing required field: stack","src/controllers/IncidentController.js:39","Fatima:60|Ben:25|Yuki:15","de7f809:add incident schema@Fatima;ef8091a:reject empty stack@Ben;f8091ab:log validation errors@Yuki","Crash Reason: Incident payload missing stack trace."
d8b40ac9-7388-4172-f37f-778192c3d4c7,2026-02-02T11:02:55Z,ichack26/broken_app,src/routes/GitHub.js,22,TypeError,"Cannot read properties of undefined (reading 'owner')","src/routes/GitHub.js:22","Sasha:80|Quinn:12|Iris:8","091ab2c:add github route@Sasha;1ab2c3d:parse owner repo@Quinn;2bc3d4e:improve input checks@Iris","Crash Reason: TypeError reading 'owner' at src/routes/GitHub.js:22."
